Time (s),EMG_Relaxed (mV),EMG_Contracted (mV)
2.765406778,-0.049575605,-0.026668724
2.765895107,-0.063783521,-0.028352181
2.766383436,-0.076795729,-0.031953314
2.766871765,-0.080297457,-0.044769038
2.767360094,-0.078246199,-0.063699055
2.767848423,-0.078561635,-0.074637925
2.768336752,-0.077321518,-0.06262677
2.768825081,-0.073701059,-0.045952653
2.76931341,-0.070879935,-0.062122779
2.769801738,-0.063183746,-0.104091338
2.770290067,-0.04919337,-0.12321707
2.770778396,-0.033651876,-0.101592629
2.771266725,-0.017635207,-0.071928938
2.771755054,-0.002039979,-0.060319698
2.772243383,0.010312556,-0.05081873
2.772731712,0.02023126,-0.020173276
2.773220041,0.03305946,0.02324271
2.77370837,0.04709987,0.053331366
2.774196699,0.058249984,0.061739901
2.774685028,0.068495293,0.060336591
2.775173357,0.075603172,0.060316681
2.775661686,0.079538911,0.065790753
2.776150015,0.083100073,0.073255638
2.776638344,0.081942881,0.07410213
2.777126673,0.076021482,0.070097742
2.777615001,0.067853867,0.069262622
2.77810333,0.057210593,0.068633035
2.778591659,0.047266695,0.061781317
2.779079988,0.03466365,0.046569549
2.779568317,0.015352211,0.023041459
2.780056646,-0.002000156,-0.002943802
2.780544975,-0.012656971,-0.026405954
2.781033304,-0.022639881,-0.046210976
2.781521633,-0.036056695,-0.058189449
2.782009962,-0.050786277,-0.062455807
2.782498291,-0.062033742,-0.063213696
2.78298662,-0.067181539,-0.059330128
2.783474949,-0.069677108,-0.053036064
2.783963278,-0.075186031,-0.050691693
2.784451607,-0.082486486,-0.049415788
2.784939936,-0.086962424,-0.045053572
2.785428264,-0.084231656,-0.041889768
2.785916593,-0.072251477,-0.04147376
2.786404922,-0.058543827,-0.041180615
2.786893251,-0.046703531,-0.044298395
2.78738158,-0.03259777,-0.05221022
2.787869909,-0.018898447,-0.052127361
2.788358238,-0.005119209,-0.032808698
2.788846567,0.011349542,-0.003124507
2.789334896,0.026873082,0.021804805
2.789823225,0.043317441,0.039132092
2.790311554,0.05990197,0.054929377
2.790799883,0.070175402,0.072411612
2.791288212,0.074805062,0.088926469
2.791776541,0.076314225,0.099210678
2.79226487,0.076359834,0.0972579
2.792753199,0.075533096,0.084620426
2.793241527,0.073172931,0.075116861
2.793729856,0.0711447,0.082363737
2.794218185,0.069362795,0.100284694
2.794706514,0.065364393,0.102196581
2.795194843,0.054896576,0.074396136
2.795683172,0.036615186,0.033248411
2.796171501,0.017563948,-0.005927796
2.79665983,0.000541314,-0.042115534
2.797148159,-0.016807097,-0.067405604
2.797636488,-0.032423137,-0.071523199
2.798124817,-0.045585747,-0.063727098
2.798613146,-0.055443082,-0.064667544
2.799101475,-0.058934819,-0.079227358
2.799589804,-0.058593557,-0.092755785
2.800078133,-0.059529229,-0.093246117
2.800566462,-0.065585061,-0.082155007
2.801054791,-0.072832437,-0.07004111
2.801543119,-0.071566064,-0.066499175
2.802031448,-0.064424386,-0.066799256
2.802519777,-0.060322276,-0.05900329
2.803008106,-0.059368326,-0.039121732
2.803496435,-0.05273233,-0.012533186
2.803984764,-0.033379297,0.009407591
2.804473093,-0.010421012,0.021930478
2.804961422,0.004522049,0.032356452
2.805449751,0.014501863,0.044605028
2.80593808,0.025602184,0.05255401
2.806426409,0.038155748,0.053281341
2.806914738,0.048437256,0.056773211
2.807403067,0.055231611,0.070483355
2.807891396,0.062252654,0.085481582
2.808379725,0.066784172,0.089207607
2.808868054,0.066347812,0.077419208
2.809356382,0.067092965,0.055926272
2.809844711,0.069297202,0.033580521
2.81033304,0.068431376,0.015944648
2.810821369,0.064863545,0.009038444
2.811309698,0.05961706,0.014676543
2.811798027,0.051105692,0.028433589
2.812286356,0.038657961,0.042310885
2.812774685,0.02672135,0.044214049
2.813263014,0.014566678,0.03236009
2.813751343,-0.005664651,0.018584589
2.814239672,-0.030622595,0.008915414
2.814728001,-0.050126012,0.00100948
2.81521633,-0.061526713,-0.01303923
2.815704659,-0.069376349,-0.045581172
2.816192988,-0.077588183,-0.093779509
2.816681317,-0.080544361,-0.135301306
2.817169645,-0.07609482,-0.151038893
2.817657974,-0.073801316,-0.138724888
2.818146303,-0.077376177,-0.110977822
2.818634632,-0.078616979,-0.087910856
2.819122961,-0.06800261,-0.078171483
2.81961129,-0.050505254,-0.070410061
2.820099619,-0.038821413,-0.057043871
2.820587948,-0.030534711,-0.042021637
2.821076277,-0.017004301,-0.028472861
2.821564606,0.002695946,-0.018824262
2.822052935,0.02189255,-0.010867161
2.822541264,0.034383506,0.001256562
2.823029593,0.043134143,0.016639553
2.823517922,0.047618659,0.030014302
2.824006251,0.04949704,0.039796047
2.82449458,0.060804877,0.046668808
2.824982908,0.078658328,0.049607401
2.825471237,0.086452318,0.048659148
2.825959566,0.080662893,0.048237355
2.826447895,0.072653812,0.052867509
2.826936224,0.069386941,0.061302843
2.827424553,0.065571759,0.068202133
2.827912882,0.05674184,0.065888435
2.828401211,0.044408875,0.050373256
2.82888954,0.028884439,0.030543925
2.829377869,0.012874867,0.018747755
2.829866198,0.002161125,0.015888109
2.830354527,-0.006408187,0.012579115
2.830842856,-0.022649006,0.002227785
2.831331185,-0.04485115,-0.011764123
2.831819514,-0.059390783,-0.025078264
2.832307843,-0.064421523,-0.039420142
2.832796172,-0.069143738,-0.053209096
2.8332845,-0.075603111,-0.057679141
2.833772829,-0.081116405,-0.052208388
2.834261158,-0.080494441,-0.048573379
2.834749487,-0.07358938,-0.052514946
2.835237816,-0.067860947,-0.055612096
2.835726145,-0.064269087,-0.048310529
2.836214474,-0.057400823,-0.029341302
2.836702803,-0.043220651,-0.003922485
2.837191132,-0.026878405,0.021102565
2.837679461,-0.016902928,0.04129442
2.83816779,-0.009799845,0.056270315
2.838656119,0.002746771,0.066050376
2.839144448,0.022625899,0.068685621
2.839632777,0.043159358,0.071903813
2.840121106,0.055464475,0.089414254
2.840609435,0.060878638,0.110042551
